ORF	gene	hmm_call	custom_call	biotradis_call	gumbel_call
MB0627C	 -	NE	NE	NE	NE
MB0628C	 -	NE	NE	NE	NE
MB0629	 -	NE	NE	NE	NE
MB0630C	 -	NE	NE	NE	NE
MB0631	 -	NE	NE	NE	S
MB0632	 -	NE	NE	NE	NE
MB0633C	 -	NE	NE	NE	NE
MB0633A	 len: 75 aa. Equivalent to Rv0616A len: 75 aa	NE	ES	NE	S
MB0634	 -	NE	NE	NE	NE
MB0635	 galT	NE	NE	NE	NE
MB0636	 galK	NE	NE	NE	U
MB0637	 -	NE	NE	NE	NE
MB0638	 -	NE	NE	NE	U
MB0639	 -	NE	NE	NE	NE
MB0640	 -	NE	NE	NE	NE
MB0641C	 -	NE	NE	NE	NE
MB0642	 -	NE	ES	NE	S
MB0643	 -	NE	ES	ES	NE
MB0644C	 -	NE	ES	NE	U
MB0645C	 recD	NE	ES	NE	NE
MB0646C	 recBb	NE	NE	NE	NE
MB0647C	 recBa	NE	NE	NE	U
MB0648C	 recC	NE	AMB	NE	NE
MB0649C	 echA3	NE	NE	NE	NE
MB0650C	 -	NE	NE	NE	NE
MB0651C	 -	NE	NE	NE	NE
MB0652	 -	NE	NE	NE	S
MB0653	 rpmG2	ES	NE	NE	ES
MB0654	 -	ES	ES	NE	U
MB0655	 -	NE	ES	ES	U
MB0656	 -	NE	NE	NE	S
MB0657	 secE1	ES	NE	NE	U
MB0658	 nusG	ES	ES	ES	U
MB0659	 rplK	GD	AMB	ES	U
MB0660	 rplA	GA	AMB	NE	NE
MB0661C	 mmaA4	GA	NE	NE	NE
MB0662C	 mmaA3	GA	NE	NE	NE
MB0663C	 mmaA2	GA	NE	NE	NE
MB0664C	 mmaA1	GA	NE	NE	NE
MB0665C	 lipG	ES	NE	NE	ES
MB0666C	 -	NE	ES	ES	NE
MB0667	 -	NE	NE	NE	NE
MB0668	 fabD2	NE	ES	NE	NE
MB0669	 -	ES	ES	NE	U
MB0670	 rplJ	NE	ES	ES	S
MB0671	 rplL	NE	NE	ES	NE
MB0672C	 -	NE	NE	NE	NE
MB0673	 -	NE	NE	NE	NE
MB0674	 mkl	NE	NE	NE	NE
MB0675C	 -	NE	NE	NE	S
MB0676C	 -	NE	NE	NE	NE
MB0677C	 -	NE	NE	NE	NE
MB0678C	 -	NE	NE	NE	S
MB0679C	 -	NE	NE	NE	NE
MB0680C	 -	NE	NE	NE	S
MB0681C	 -	NE	NE	NE	U
MB0682	 atsD	NE	NE	NE	S
MB0683	 -	NE	NE	NE	NE
MB0684	 -	N/A	NE	NE	S
MB0685	 -	ES	AMB	ES	ES
MB0686	 rpoB	ES	ES	ES	ES
MB0687	 rpoC	NE	ES	ES	NE
MB0688C	 -	NE	NE	NE	NE
MB0689	 end	NE	NE	NE	NE
MB0690	 lpqP	NE	NE	NE	NE
MB0691	 fadE8	NE	NE	NE	U
MB0692	 echA4	NE	NE	NE	U
MB0693	 -	NE	ES	NE	NE
MB0694	 echA5	NE	ES	ES	NE
MB0695C	 mmpL5	NE	NE	NE	NE
MB0696C	 mmpS5	NE	NE	NE	NE
MB0697	 -	NE	NE	ES	NE
MB0698C	 -	NE	NE	NE	S
MB0699C	 -	NE	NE	NE	NE
MB0700	 -	ES	NE	NE	U
MB0701	 rpsL	ES	ES	NE	U
MB0702	 rpsG	ES	AMB	ES	ES
MB0703	 fusA1	ES	ES	NE	U
MB0704	 tuf	NE	AMB	ES	NE
MB0705	 -	NE	NE	NE	NE
MB0706	 -	NE	NE	NE	NE
MB0707	 -	NE	NE	NE	S
MB0708C	 -	NE	NE	NE	NE
MB0709C	 -	NE	NE	NE	NE
MB0710C	 -	NE	NE	NE	S
MB0710A	 len: 62 aa. Equivalent to Rv0691A len: 62 aa	NE	AMB	ES	NE
MB0711	 -	GD	NE	NE	U
MB0712	 pqqE	GD	NE	NE	NE
MB0713	 lldD1	GD	ES	NE	U
MB0714	 -	GD	AMB	NE	U
MB0715	 -	NE	ES	NE	U
MB0716	 -	NE	AMB	NE	NE
MB0717	 -	NE	ES	NE	NE
MB0718	 -	NE	NE	NE	S
MB0719	 -	ES	NE	NE	S
MB0720	 rpsJ	ES	ES	ES	ES
MB0721	 rplC	ES	ES	ES	U
MB0722	 rplD	ES	ES	ES	U
MB0723	 rplW	ES	ES	ES	ES
MB0724	 rplB	ES	ES	ES	S
MB0725	 rpsS	ES	ES	ES	U
MB0726	 rplV	ES	ES	ES	U
MB0727	 rpsC	ES	ES	ES	U
MB0728	 rplP	GD	AMB	ES	S
MB0729	 rpmC	GD	ES	NE	U
MB0730	 rpsQ	NE	ES	ES	NE
MB0731	 atsAa	NE	NE	NE	NE
MB0732	 atsAb	NE	NE	NE	U
MB0733	 -	NE	NE	NE	NE
MB0734	 -	ES	NE	NE	U
MB0735	 rplN	ES	ES	ES	U
MB0736	 rplX	ES	ES	NE	U
MB0737	 rplE	ES	ES	ES	S
MB0738	 rpsN1	ES	ES	ES	U
MB0739	 rpsH	ES	ES	ES	ES
MB0740	 rplF	ES	ES	ES	S
MB0741	 rplR	ES	ES	ES	U
MB0742	 rpsE	ES	ES	ES	S
MB0743	 rpmD	NE	ES	NE	S
MB0744	 rplO	NE	NE	NE	NE
MB0745	 sppA	NE	NE	NE	NE
MB0746C	 -	NE	NE	NE	NE
MB0747C	 -	NE	NE	NE	NE
MB0748C	 fucA	NE	NE	NE	NE
MB0749C	 serA2	NE	NE	NE	NE
MB0750	 xylB	NE	NE	NE	NE
MB0751	 -	NE	AMB	NE	NE
MB0752C	 -	ES	NE	NE	U
MB0753	 secY	ES	ES	ES	U
MB0754	 adk	NE	ES	ES	U
MB0755	 mapA	NE	NE	NE	NE
MB0756	 sigL	NE	NE	NE	NE
MB0757	 -	NE	NE	NE	NE
MB0758	 -	NE	NE	NE	S
MB0759	 -	NE	NE	NE	NE
MB0760	 -	NE	NE	NE	NE
MB0761	 -	NE	NE	NE	S
MB0762	 -	NE	NE	NE	NE
MB0763	 PE_PGRS8	NE	NE	NE	NE
MB0764C	 -	NE	NE	NE	NE
MB0765C	 -	NE	NE	NE	NE
MB0766	 -	NE	NE	NE	U
MB0767	 PE_PGRS9	NE	AMB	NE	NE
MB0768	 PE_PGRS10	NE	ES	NE	S
MB0769	 -	NE	NE	NE	NE
MB0770	 -	NE	NE	NE	S
MB0771C	 -	NE	NE	NE	NE
MB0772	 -	NE	NE	NE	NE
MB0773C	 mmsB	NE	NE	NE	U
MB0774C	 fadE9	NE	AMB	NE	NE
MB0775C	 mmsA	NE	NE	NE	NE
MB0776	 PE_PGRS11	NE	NE	NE	U
MB0777C	 PPE12	NE	NE	NE	NE
MB0778C	 -	NE	NE	NE	S
MB0779C	 -	NE	NE	NE	NE
MB0780	 phoP	NE	NE	NE	NE
MB0781	 phoR	NE	NE	NE	S
MB0782C	 -	NE	NE	NE	NE
MB0783C	 -	NE	NE	NE	NE
MB0784C	 adhB	NE	NE	NE	NE
MB0785C	 -	NE	NE	NE	S
MB0786C	 -	NE	NE	NE	U
MB0787C	 cyp51	NE	NE	NE	NE
MB0788C	 -	NE	NE	NE	NE
MB0789C	 cyp123	NE	NE	NE	NE
MB0790C	 -	NE	NE	NE	NE
MB0791	 aldA	NE	NE	NE	NE
MB0792	 -	NE	NE	NE	NE
MB0793	 -	NE	NE	NE	NE
MB0794	 -	ES	NE	NE	ES
MB0795	 purD	NE	ES	AMB	U
MB0796C	 ggtA	NE	AMB	NE	NE
MB0797C	 -	NE	NE	NE	NE
MB0798	 -	NE	NE	NE	NE
MB0799C	 -	ES	NE	NE	ES
MB0800	 purB	NE	ES	NE	NE
MB0801	 cyp126	NE	NE	NE	U
MB0802C	 -	ES	ES	ES	U
MB0803	 purC	NE	ES	NE	U
MB0804	 ptrB	NE	NE	NE	U
MB0805C	 emrB	NE	NE	NE	NE
MB0806	 -	NE	NE	NE	U
MB0807	 -	NE	NE	NE	U
MB0808	 -	NE	NE	NE	NE
MB0809C	 -	NE	NE	NE	NE
MB0810	 -	ES	NE	NE	S
MB0811	 -	ES	ES	ES	U
MB0812	 purQ	NE	ES	ES	NE
MB0813C	 -	NE	NE	NE	NE
MB0814C	 -	NE	NE	NE	U
MB0815C	 -	NE	NE	NE	NE
MB0816C	 -	NE	NE	NE	NE
MB0817	 -	NE	NE	NE	U
MB0818C	 -	NE	NE	NE	NE
MB0819C	 -	NE	NE	NE	NE
MB0820	 -	NE	NE	NE	NE
MB0821C	 cfp29	NE	NE	NE	NE
MB0822C	 -	NE	NE	NE	U
MB0823	 pepC	NE	NE	NE	S
MB0824	 -	NE	NE	NE	NE
MB0825C	 -	ES	NE	NE	ES
MB0826	 purL	NE	ES	ES	NE
MB0827	 -	NE	NE	NE	NE
MB0828	 -	NE	NE	NE	NE
MB0829C	 cpsY	NE	NE	NE	S
MB0830	 -	ES	NE	NE	ES
MB0831	 purF	GD	ES	NE	ES
MB0832	 purM	NE	AMB	NE	S
MB0833C	 -	ES	NE	NE	ES
MB0834C	 -	NE	ES	ES	NE
MB0835	 -	NE	NE	NE	NE
MB0836C	 -	NE	NE	NE	NE
MB0837C	 sseC2	NE	NE	NE	NE
MB0838C	 cysA2	NE	NE	NE	NE
MB0839C	 thiX	ES	NE	NE	U
MB0840C	 -	NE	ES	ES	NE
MB0841	 -	NE	NE	NE	U
MB0842	 -	NE	NE	NE	U
MB0843	 phoT	NE	NE	NE	NE
MB0844C	 phoY2	NE	NE	NE	NE
MB0845C	 -	NE	NE	NE	NE
MB0846C	 -	ES	NE	NE	U
MB0847C	 desA1	NE	ES	ES	NE
MB0848C	 -	NE	NE	NE	NE
MB0849	 -	NE	NE	NE	NE
MB0850C	 -	NE	NE	NE	NE
MB0851C	 -	NE	NE	NE	NE
MB0852	 -	NE	NE	NE	NE
MB0853	 -	NE	NE	NE	NE
MB0854C	 -	NE	NE	NE	S
MB0855	 PE_PGRS12	NE	NE	NE	U
MB0856	 PE_PGRS13	NE	ES	AMB	U
MB0857C	 PE_PGRS14	NE	NE	NE	NE
MB0858	 lpqQ	NE	NE	NE	NE
MB0859C	 -	NE	NE	NE	NE
MB0860C	 -	NE	NE	NE	NE
MB0861	 lpqR	NE	NE	NE	NE
MB0862	 -	NE	NE	NE	NE
MB0863C	 pip	NE	NE	NE	S
MB0864	 -	NE	NE	NE	U
MB0865	 -	NE	NE	NE	NE
MB0866	 -	NE	NE	NE	NE
MB0867C	 narL	NE	NE	NE	U
MB0868	 -	NE	NE	NE	U
MB0869C	 -	NE	NE	NE	NE
MB0870	 lpqS	NE	NE	NE	NE
MB0871	 cysK2	NE	NE	NE	U
MB0872	 -	NE	NE	NE	NE
MB0873	 -	NE	NE	NE	NE
MB0874C	 -	NE	NE	NE	NE
MB0875	 fadD16	NE	NE	NE	NE
MB0876C	 pdc	NE	NE	NE	NE
MB0877	 -	NE	NE	NE	NE
MB0878	 far	NE	NE	NE	NE
MB0879	 -	NE	NE	NE	NE
MB0880	 -	NE	NE	NE	NE
MB0881C	 -	GD	NE	NE	NE
MB0882	 fadA	GD	ES	AMB	U
MB0883	 fadB	NE	ES	AMB	NE
MB0884C	 -	NE	NE	NE	U
MB0885C	 -	NE	NE	NE	NE
MB0886	 -	NE	NE	NE	NE
MB0888	 moaC2	NE	NE	NE	NE
MB0889	 mog	NE	NE	NE	NE
MB0890	 moaE2	NE	NE	NE	U
MB0891C	 rpfA	NE	NE	NE	NE
MB0892C	 moaD2	NE	NE	NE	NE
MB0893C	 moaA2	NE	NE	NE	NE
MB0894C	 -	NE	NE	NE	NE
MB0895	 cspB	NE	NE	NE	U
MB0896C	 PE_PGRS15	NE	NE	NE	NE
MB0897	 fadE10	NE	NE	NE	NE
MB0898C	 -	NE	NE	NE	U
MB0899C	 -	NE	AMB	NE	U
MB0900C	 -	NE	NE	NE	NE
MB0901	 -	NE	NE	NE	NE
MB0902C	 PPE13	NE	NE	NE	NE
MB0903C	 -	NE	NE	NE	S
MB0904	 -	NE	NE	NE	NE
MB0905	 -	NE	NE	NE	S
MB0906	 -	NE	ES	NE	U
MB0907C	 -	NE	ES	ES	U
MB0908C	 serC	NE	ES	ES	NE
MB0909	 -	NE	NE	NE	NE
MB0910	 fprB	NE	NE	NE	NE
MB0911C	 -	NE	ES	NE	NE
MB0912	 -	NE	NE	NE	NE
MB0913C	 citA	NE	NE	NE	NE
MB0914C	 -	NE	NE	NE	NE
MB0915C	 -	NE	NE	NE	U
MB0916	 -	NE	NE	NE	NE
MB0917C	 -	NE	NE	NE	NE
MB0918	 -	NE	NE	NE	NE
MB0919	 -	ES	NE	NE	ES
MB0920	 gltA2	NE	ES	ES	U
MB0921C	 -	NE	NE	NE	S
MB0922C	 -	NE	NE	NE	U
MB0923	 ompA	NE	NE	NE	S
MB0924	 -	NE	NE	NE	U
MB0925	 -	ES	NE	NE	U
MB0926C	 prrB	GD	AMB	ES	U
MB0927C	 prrA	GD	ES	ES	NE
MB0928C	 accD3	NE	NE	NE	NE
MB0929	 echA6	NE	NE	NE	NE
MB0930	 -	NE	NE	NE	U
MB0931	 -	NE	NE	NE	NE
MB0932	 ctpE	NE	NE	NE	S
MB0933	 -	NE	NE	NE	NE
MB0934	 -	NE	NE	NE	NE
MB0935	 -	NE	NE	NE	S
MB0936	 -	NE	NE	NE	NE
MB0937C	 -	NE	NE	NE	NE
MB0938C	 -	NE	NE	NE	NE
MB0939C	 PPE14	GD	NE	NE	U
MB0940C	 PE7	NE	NE	ES	NE
MB0941	 betP	NE	NE	NE	NE
MB0942	 -	NE	NE	NE	NE
MB0943	 -	NE	NE	NE	S
MB0944C	 -	NE	NE	NE	U
MB0945	 -	NE	NE	NE	NE
MB0946	 -	NE	NE	NE	NE
MB0947C	 -	NE	NE	NE	U
MB0948C	 mntH	NE	NE	NE	NE
MB0949C	 -	NE	NE	NE	NE
MB0950C	 -	GD	NE	NE	NE
MB0951	 pstS3	GD	AMB	NE	NE
MB0952	 pstC2	NE	AMB	NE	NE
MB0953	 pstA1	NE	NE	NE	NE
MB0954C	 pknDb	NE	NE	NE	NE
MB0955C	 pknDa	NE	NE	NE	NE
MB0956C	 pstS2	NE	NE	NE	S
MB0957	 pstBa	NE	NE	NE	NE
MB0958	 pstBb	NE	NE	NE	NE
MB0959	 pstS1	NE	NE	NE	NE
MB0960	 pstC1	NE	NE	NE	NE
MB0961	 pstA2	NE	NE	NE	U
MB0962C	 -	GD	NE	AMB	U
MB0963	 -	NE	AMB	NE	NE
MB0964	 -	NE	NE	NE	U
MB0965C	 -	NE	NE	NE	NE
MB0966C	 -	NE	NE	NE	NE
MB0967	 -	NE	NE	NE	NE
MB0968C	 -	NE	NE	NE	NE
MB0969	 -	NE	NE	NE	U
MB0970	 -	ES	ES	NE	ES
MB0971C	 pgi	NE	ES	ES	NE
MB0972C	 -	NE	NE	NE	U
MB0973C	 -	GD	NE	NE	U
MB0974	 uvrD1	NE	AMB	NE	NE
MB0975C	 -	ES	NE	NE	ES
MB0976	 sucC	ES	ES	NE	U
MB0977	 sucD	NE	ES	ES	NE
MB0978C	 -	NE	NE	NE	NE
MB0979	 -	ES	NE	NE	ES
MB0980	 -	ES	AMB	ES	U
MB0981	 purN	ES	NE	NE	ES
MB0982	 purH	NE	ES	NE	U
MB0983	 -	NE	NE	NE	U
MB0984	 -	NE	NE	NE	NE
MB0984A	 len: 73 aa. Equivalent to Rv0959A len: 73 aa	NE	NE	NE	NE
MB0985	 -	NE	NE	NE	NE
MB0986	 -	NE	NE	NE	NE
MB0987C	 lprP	NE	NE	NE	NE
MB0988C	 -	NE	NE	NE	NE
MB0989C	 -	NE	NE	NE	NE
MB0990C	 -	NE	NE	NE	NE
MB0991C	 -	NE	NE	NE	S
MB0992	 -	NE	NE	NE	NE
MB0993	 -	NE	NE	NE	NE
MB0994	 ctpV	NE	NE	NE	NE
MB0995	 -	NE	NE	NE	NE
MB0996C	 echA7	NE	AMB	NE	U
MB0997C	 fadE12	NE	AMB	NE	U
MB0998C	 accA2	ES	AMB	NE	U
MB0999C	 accD2	NE	ES	AMB	NE
MB1000C	 fadE13	NE	NE	NE	NE
MB1001C	 -	NE	NE	NE	U
MB1002	 PE_PGRS16	NE	NE	NE	NE
MB1003C	 PE_PGRS17	NE	NE	NE	S
MB1004C	 -	NE	NE	ES	S
MB1005	 rpmF	NE	NE	NE	NE
MB1006C	 PE_PGRS18	NE	NE	NE	NE
MB1007	 len: 228 aa. Equivalent to Rv0981 len: 228 aa	ES	NE	NE	ES
MB1008	 mprB	NE	NE	NE	U
MB1009	 -	NE	NE	NE	NE
MB1010	 moaB2	NE	NE	NE	NE
MB1011C	 mscL	NE	NE	NE	NE
MB1012	 -	NE	NE	NE	U
MB1013	 -	NE	NE	NE	NE
MB1014	 -	NE	NE	NE	U
MB1015	 -	NE	NE	NE	NE
MB1016C	 grcC2	NE	NE	NE	NE
MB1017C	 -	NE	NE	NE	S
MB1018C	 -	NE	NE	NE	NE
MB1019C	 -	ES	NE	NE	U
MB1020	 galU	NE	ES	ES	NE
MB1021	 moeA1	NE	NE	NE	NE
MB1022	 rimJ	NE	NE	NE	NE
MB1023	 -	NE	NE	NE	S
MB1023A	NA	NA	NE	NE	NA
MB1024	 -	NE	NE	NE	NE
MB1025	 -	NE	NE	NE	NE
MB1026	 -	NE	NE	NE	NE
MB1027C	 -	NE	NE	NE	NE
MB1028	 arcA	NE	NE	NE	U
MB1029C	 -	NE	NE	NE	NE
MB1030	 -	NE	NE	NE	U
MB1031C	 -	NE	NE	NE	U
MB1032C	 pabB	NE	AMB	NE	NE
MB1033	 -	ES	NE	NE	ES
MB1034C	 metS	NE	ES	ES	NE
MB1035	 tatD	NE	NE	NE	NE
MB1036	 rpfB	NE	NE	NE	NE
MB1037	 ksgA	ES	NE	NE	U
MB1038	 ispE	NE	ES	ES	NE
MB1040	 -	NE	NE	NE	NE
MB1041	 pks16	ES	NE	NE	U
MB1042C	 pth	NE	ES	ES	NE
MB1043C	 rplY	NE	NE	NE	NE
MB1044C	 lpqT	ES	NE	NE	U
MB1045C	 prsA	ES	ES	ES	ES
MB1046C	 glmU	ES	ES	ES	S
MB1047	 -	NE	NE	NE	NE
MB1048	 mfd	NE	NE	NE	NE
MB1049	 -	NE	NE	NE	NE
MB1050	 lpqU	ES	NE	NE	ES
MB1051	 eno	ES	ES	ES	U
MB1052	 -	ES	ES	ES	NE
MB1053	 -	NE	AMB	ES	U
MB1054	 -	NE	AMB	NE	U
MB1055C	 kdpE	NE	NE	NE	NE
MB1056C	 kdpD	NE	NE	NE	S
MB1057	 kdpF	NE	NE	ES	U
MB1058	 kdpA	NE	NE	NE	U
MB1059	 kdpB	NE	NE	NE	NE
MB1060	 kdpC	NE	NE	NE	NE
MB1061C	 trcS	NE	NE	NE	NE
MB1062C	 trcR	NE	NE	NE	S
MB1063C	 -	NE	NE	NE	NE
MB1064C	 -	NE	NE	NE	U
MB1065C	 -	NE	NE	NE	NE
MB1066C	 esxI	NE	NE	NE	NE
MB1067C	 esxJ	NE	NE	NE	NE
MB1068C	 PPE15	NE	NE	NE	NE
MB1069C	 PE8	NE	NE	NE	NE
MB1070C	 -	NE	NE	NE	NE
MB1071C	 -	NE	NE	NE	NE
MB1072C	 -	NE	NE	NE	NE
MB1073	 -	NE	NE	NE	NE
MB1074	 -	NE	NE	NE	NE
MB1075C	 -	NE	NE	NE	NE
MB1076	 -	NE	NE	NE	NE
MB1077C	 -	NE	NE	NE	NE
MB1078	 -	NE	NE	NE	NE
MB1079	 -	NE	NE	NE	NE
MB1080C	 -	NE	ES	NE	NE
MB1081	 -	NE	NE	NE	NE
MB1082C	 -	NE	NE	NE	NE
MB1083	 -	NE	NE	NE	S
MB1084	 -	NE	ES	ES	S
MB1085	 -	NE	NE	NE	NE
MB1086	 -	NE	NE	NE	NE
MB1087	 fadD14	NE	NE	NE	NE
MB1088	 -	NE	AMB	NE	NE
MB1089	 -	NE	NE	NE	NE
MB1090	 -	NE	NE	NE	NE
MB1091	 -	NE	NE	NE	NE
MB1092C	 -	NE	NE	NE	NE
MB1093C	 lpqV	NE	NE	NE	NE
MB1094	 -	NE	NE	NE	NE
MB1095	 -	NE	NE	NE	NE
MB1096C	 PE_PGRS19	NE	AMB	NE	U
MB1097C	 PE_PGRS20	NE	AMB	NE	NE
MB1098C	 -	NE	NE	NE	NE
MB1099C	 echA8	NE	NE	NE	NE
MB1100C	 echA9	NE	NE	NE	NE
MB1101	 -	NE	NE	NE	NE
MB1102	 -	NE	NE	NE	NE
MB1103C	 fadA3	NE	NE	NE	NE
MB1104C	 -	NE	NE	NE	NE
MB1105	 lipU	NE	NE	NE	NE
MB1106	 cbs	NE	NE	NE	NE
MB1107	 pra	NE	AMB	NE	U
MB1108	 metB	NE	NE	NE	U
MB1109C	 greA	NE	NE	NE	U
MB1110C	 -	NE	NE	NE	NE
MB1111	 mca	NE	NE	NE	S
MB1112	 -	NE	NE	NE	U
MB1113	 -	NE	NE	NE	NE
MB1114C	 -	ES	NE	NE	ES
MB1115	 -	NE	ES	NE	NE
MB1116	 PE_PGRS21	NE	NE	NE	NE
MB1116A	 -	ES	NE	NE	U
MB1117	 PE9	NE	AMB	NE	S
MB1118	 PE10	NE	NE	NE	S
MB1119	 celA2a	NE	NE	NE	NE
MB1120	 celA2b	NE	NE	NE	NE
MB1121	 PE_PGRS22	ES	AMB	NE	ES
MB1122C	 coaA	NE	AMB	ES	U
MB1123	 glyA1	ES	NE	NE	U
MB1124	 desA2	NE	AMB	ES	U
MB1125	 phoH2	NE	ES	NE	NE
MB1126	 -	GD	NE	NE	U
MB1127C	 -	ES	AMB	NE	ES
MB1128C	 fum	NE	ES	ES	NE
MB1129C	 -	NE	NE	NE	NE
MB1130	 -	NE	NE	NE	NE
MB1131C	 -	NE	NE	NE	NE
MB1132C	 -	NE	NE	NE	U
MB1133C	 -	NE	NE	NE	NE
MB1134	 -	NE	NE	NE	NE
MB1135	 -	NE	NE	NE	NE
MB1136C	 -	NE	NE	NE	S
MB1137C	 xseB	NE	NE	NE	NE
MB1138C	 xseA	NE	AMB	NE	NE
MB1139C	 -	NE	NE	NE	U
MB1140	 lytB2	NE	NE	NE	U
MB1141C	 -	NE	NE	NE	NE
MB1142	 -	NE	NE	NE	S
MB1143	 -	NE	AMB	ES	NE
MB1144	 -	NE	NE	ES	NE
MB1145	 -	NE	NE	NE	S
MB1146	 -	NE	NE	NE	NE
MB1147C	 -	NE	NE	NE	S
MB1148	 -	NE	NE	NE	NE
MB1149C	 -	NE	NE	NE	S
MB1150C	 -	NE	AMB	NE	NE
MB1151C	 -	NE	NE	NE	NE
MB1152	 zwf1	ES	NE	NE	ES
MB1153	 gnd2	NE	ES	ES	NE
MB1154C	 bpoB	NE	NE	NE	NE
MB1155	 ephC	NE	NE	NE	NE
MB1156	 -	NE	NE	NE	NE
MB1157C	 -	NE	AMB	NE	NE
MB1158C	 ppdK	NE	AMB	NE	NE
MB1159C	 -	NE	AMB	NE	U
MB1160C	 -	NE	NE	NE	U
MB1161	 -	ES	NE	NE	U
MB1162	 gltA1	GD	NE	NE	NE
MB1163	 -	ES	NE	NE	ES
MB1164C	 metE	NE	ES	ES	NE
MB1165	 -	NE	NE	NE	NE
MB1166C	 PPE16	NE	NE	NE	NE
MB1167	 -	NE	NE	NE	NE
MB1168	 -	NE	NE	NE	S
MB1169C	 -	NE	NE	NE	NE
MB1170C	 -	NE	NE	NE	NE
MB1171C	 -	NE	NE	NE	NE
MB1172	 -	NE	NE	NE	NE
MB1173C	 echA11	NE	NE	NE	NE
MB1174C	 echA10	NE	NE	NE	NE
MB1175	 mcr	NE	NE	NE	NE
MB1176	 -	NE	NE	NE	NE
MB1177	 mmpL13	NE	NE	NE	NE
MB1178	 -	NE	NE	NE	NE
MB1179C	 -	NE	NE	NE	NE
MB1180	 -	NE	NE	NE	NE
MB1181	 -	NE	NE	NE	NE
MB1182C	 -	NE	NE	NE	NE
MB1183	 -	NE	NE	NE	NE
MB1184C	 omt	NE	NE	NE	NE
MB1185C	 -	NE	NE	NE	NE
MB1186	 -	NE	NE	NE	S
MB1186A	NA	NA	NE	NE	NA
MB1187	 -	NE	NE	NE	NE
MB1188C	 -	NE	ES	NE	U
MB1189C	 -	NE	NE	NE	NE
MB1190	 -	NE	NE	NE	NE
MB1191C	 -	NE	NE	NE	NE
MB1192	 mutT2	NE	NE	NE	U
MB1193	 narG	NE	NE	NE	NE
MB1194	 narH	NE	NE	NE	NE
MB1195	 narJ	NE	NE	NE	NE
MB1196	 narI	NE	NE	NE	NE
MB1197	 typA	ES	NE	NE	ES
MB1198	 lpqW	NE	ES	AMB	NE
MB1199C	 -	NE	NE	NE	NE
MB1200C	 PPE17b	NE	NE	NE	NE
MB1201C	 PPE17a	NE	NE	NE	S
MB1202C	 PE11	NE	NE	NE	NE
MB1203	 mshB	NE	NE	NE	NE
MB1204	 -	NE	NE	NE	NE
MB1205C	 PE12	GD	NE	NE	U
MB1206	 fbiC	NE	AMB	NE	NE
MB1207C	 -	NE	NE	NE	U
MB1208C	 fadH	NE	NE	NE	NE
MB1209C	 -	NE	NE	NE	U
MB1210	 fdxC	NE	AMB	NE	NE
MB1211	 -	NE	NE	NE	NE
MB1212C	 -	NE	NE	NE	U
MB1213	 pks3	NE	AMB	NE	NE
MB1214	 papA3	NE	NE	NE	NE
MB1215	 mmpL10	GD	NE	NE	NE
MB1216C	 -	NE	NE	NE	NE
MB1217C	 fadD21	NE	NE	NE	NE
MB1218C	 -	NE	AMB	NE	NE
MB1219	 rocA	NE	NE	NE	NE
MB1220	 -	NE	AMB	NE	U
MB1221	 sigI	NE	NE	NE	NE
MB1222	 -	NE	NE	NE	NE
MB1223	 -	NE	NE	NE	NE
MB1224	 -	GD	NE	NE	U
MB1225	 fadD36	GA	ES	NE	NE
MB1226C	 -	GA	NE	NE	NE
MB1227	 PE13	GA	NE	NE	NE
MB1228	 PPE18	GA	NE	NE	NE
MB1229	 esxK	GA	NE	NE	NE
MB1230	 esxL	GA	NE	NE	NE
MB1231C	 -	NE	NE	NE	NE
MB1232	 -	NE	NE	NE	U
MB1233C	 -	ES	AMB	ES	ES
MB1234	 dapE	NE	ES	NE	NE
MB1235C	 -	NE	NE	NE	NE
MB1236C	 -	NE	NE	NE	NE
MB1237	 -	NE	NE	NE	NE
MB1238	 fadD6	GD	NE	NE	NE
MB1239	 folP2	GD	ES	NE	NE
MB1240	 -	NE	ES	ES	NE
MB1241	 -	NE	NE	NE	NE
MB1242	 tagA	NE	NE	NE	S
MB1243	 -	NE	NE	ES	NE
MB1244C	 -	NE	NE	NE	NE
MB1245	 glgC	NE	NE	NE	S
MB1246C	 PE14	NE	NE	NE	NE
MB1247C	 -	NE	NE	NE	NE
MB1248C	 -	NE	NE	NE	NE
MB1249C	 -	NE	NE	NE	NE
MB1250C	 -	NE	NE	NE	NE
MB1251C	 -	NE	NE	NE	NE
MB1252C	 -	ES	NE	NE	U
MB1253	 sigE	NE	NE	NE	S
MB1254	 -	ES	NE	NE	ES
MB1255	 htrA	NE	ES	NE	U
MB1256	 tatB	NE	AMB	NE	NE
MB1257C	 -	NE	NE	NE	NE
MB1258C	 -	NE	NE	NE	NE
MB1259C	 -	NE	NE	NE	NE
MB1260	 lpqX	ES	NE	NE	ES
MB1261C	 mrp	NE	ES	ES	NE
MB1262C	 -	NE	NE	NE	NE
MB1263C	 -	NE	NE	NE	NE
MB1264C	 -	NE	NE	NE	NE
MB1265C	 -	NE	NE	NE	NE
MB1266	 -	NE	NE	NE	NE
MB1267	 lpqY	NE	NE	NE	NE
MB1268	 sugA	NE	NE	NE	U
MB1269	 sugB	NE	NE	NE	U
MB1270	 sugC	NE	NE	NE	NE
MB1271C	 corA	NE	NE	NE	U
