ORF	gene	hmm_call	custom_call	biotradis_call	gumbel_call
MB0142C	 msrA	NE	NE	NE	NE
MB0143	 -	NE	NE	NE	NE
MB0144	 -	NE	NE	NE	NE
MB0145	 -	NE	NE	NE	NE
MB0146C	 -	NE	NE	NE	NE
MB0147	 -	NE	NE	NE	NE
MB0148C	 -	NE	NE	NE	NE
MB0149	 -	NE	NE	NE	NE
MB0150	 -	NE	NE	NE	NE
MB0151	 -	NE	NE	NE	NE
MB0152	 -	NE	NE	NE	NE
MB0153	 -	NE	NE	NE	NE
MB0154	 -	NE	NE	NE	U
MB0155C	 -	NE	NE	NE	NE
MB0156C	 PE1	NE	NE	NE	NE
MB0157C	 PE2	NE	NE	NE	NE
MB0158C	 ptbB	NE	NE	NE	NE
MB0159C	 fadE2	NE	NE	NE	NE
MB0160	 pntAa	N/A	NE	NE	S
MB0161	 pntAb	NE	NE	NE	NE
MB0162	 pntB	NE	NE	NE	S
MB0162A	 len: 42 aa. Equivalent to Rv0157A len: 42 aa	NE	NE	NE	NE
MB0163	 -	NE	NE	NE	NE
MB0164C	 PE3	NE	NE	NE	NE
MB0165C	 PE4	NE	NE	NE	NE
MB0166	 -	NE	NE	NE	NE
MB0167C	 adhE1	NE	NE	NE	NE
MB0168	 -	NE	NE	NE	NE
MB0169	 TB18.5	NE	NE	NE	U
MB0170C	 len: 230 aa. Equivalent to Rv0165c len: 223 aa	NE	NE	NE	NE
MB0172	 fadD5	NE	NE	NE	NE
MB0173	 yrbE1A	NE	AMB	NE	U
MB0174	 yrbE1B	NE	NE	NE	NE
MB0175	 mce1A	NE	NE	NE	NE
MB0176	 mce1B	NE	NE	NE	NE
MB0177	 mce1C	NE	NE	NE	NE
MB0178	 mce1D	NE	NE	NE	NE
MB0179	 lprK	NE	NE	NE	NE
MB0180	 mce1F	NE	NE	NE	NE
MB0181	 -	NE	NE	NE	NE
MB0182	 -	NE	NE	NE	NE
MB0183	 -	NE	NE	NE	NE
MB0184	 -	NE	NE	NE	NE
MB0185C	 lprO	GD	NE	NE	NE
MB0186C	NA	NA	AMB	NE	NA
MB0187C	 -	NE	NE	NE	NE
MB0188C	 sigG	NE	NE	NE	NE
MB0189	 -	NE	NE	NE	NE
MB0190	 -	NE	NE	NE	NE
MB0191	 -	NE	NE	NE	NE
MB0192	 bglS	NE	NE	NE	S
MB0192A	 len: 53 aa. Equivalent to Rv0186A len: 53 aa	NE	NE	NE	NE
MB0193	 -	NE	NE	NE	NE
MB0194	 -	ES	NE	NE	ES
MB0195C	 ilvD	NE	AMB	ES	S
MB0196	 -	NE	NE	NE	NE
MB0197	 -	NE	NE	NE	NE
MB0198	 -	NE	NE	NE	NE
MB0199C	 -	NE	NE	NE	NE
MB0200	 -	NE	NE	NE	NE
MB0201	 -	NE	NE	NE	NE
MB0202	 -	NE	NE	NE	NE
MB0203	 -	GD	AMB	NE	U
MB0204C	 -	NE	AMB	NE	NE
MB0205	 -	NE	NE	NE	NE
MB0206	 -	NE	NE	NE	NE
MB0207C	 -	NE	NE	NE	NE
MB0208C	 mmpL11	NE	NE	NE	NE
MB0209	 -	ES	NE	NE	ES
MB0210C	 -	NE	NE	ES	NE
MB0211	 -	ES	NE	NE	ES
MB0212C	 mmpL3	NE	ES	ES	NE
MB0213C	 -	NE	NE	NE	NE
MB0214C	 -	NE	NE	NE	NE
MB0215	 -	NE	NE	NE	NE
MB0216	 -	NE	NE	NE	U
MB0217	 pckA	NE	ES	NE	NE
MB0218C	 nadR	NE	NE	NE	NE
MB0219C	 -	NE	NE	NE	NE
MB0220	 fadD4	NE	NE	NE	U
MB0221C	 fadE3	NE	NE	NE	NE
MB0222	 -	NE	NE	NE	NE
MB0223C	 lipW	NE	NE	NE	U
MB0224	 -	NE	NE	NE	NE
MB0225	 -	NE	NE	NE	NE
MB0226	 lipC	NE	NE	NE	NE
MB0227	 -	NE	NE	NE	NE
MB0228C	 -	ES	NE	NE	U
MB0229C	 -	ES	NE	ES	ES
MB0230	 -	ES	ES	AMB	ES
MB0231C	 -	ES	ES	AMB	ES
MB0232C	 -	ES	ES	ES	U
MB0233	 -	NE	AMB	AMB	NE
MB0234C	 -	NE	NE	NE	NE
MB0235C	 php	NE	NE	NE	NE
MB0236	 fadE4	NE	NE	NE	NE
MB0237	 -	NE	NE	NE	NE
MB0238	 nrdB	NE	NE	NE	U
MB0239C	 gabD1	NE	NE	NE	U
MB0240C	 -	ES	NE	NE	U
MB0241C	 -	NE	ES	ES	S
MB0242C	 -	NE	NE	NE	NE
MB0243	 lpqI	NE	NE	NE	NE
MB0244	 -	NE	NE	NE	S
MB0245	 -	NE	NE	NE	NE
MB0246	 -	NE	NE	NE	U
MB0247C	 -	NE	NE	NE	NE
MB0248C	 fabG4	NE	NE	NE	NE
MB0249	 fadA2	ES	NE	NE	ES
MB0250C	 fadE5	NE	ES	ES	NE
MB0251	 -	NE	NE	NE	NE
MB0252	 -	GD	NE	NE	NE
MB0253C	 -	NE	NE	NE	U
MB0254C	 -	NE	NE	NE	NE
MB0255C	 -	NE	NE	NE	S
MB0256C	 -	NE	NE	NE	NE
MB0257C	 hsp	NE	NE	NE	NE
MB0258	 nirB	NE	NE	NE	NE
MB0259	 nirD	NE	NE	NE	NE
MB0260C	 cobU	NE	NE	NE	NE
MB0261C	 cobQ1	NE	NE	NE	NE
MB0262C	 PPE2	NE	NE	NE	S
MB0263	 -	NE	AMB	NE	NE
MB0264C	 -	NE	NE	NE	NE
MB0265C	 -	ES	ES	NE	U
MB0266C	 -	NE	AMB	NE	U
MB0267C	 narK3	NE	NE	NE	NE
MB0268C	 aac	NE	NE	NE	NE
MB0269C	 -	NE	NE	NE	NE
MB0270C	 -	NE	NE	NE	NE
MB0271C	 -	NE	NE	NE	NE
MB0272C	 oplA	NE	NE	NE	NE
MB0273	 narU	NE	NE	NE	NE
MB0274C	 -	NE	NE	NE	U
MB0275C	 -	NE	NE	NE	NE
MB0276	 fadD2	NE	NE	NE	NE
MB0277C	 fadE6	NE	NE	NE	NE
MB0278C	 -	NE	NE	NE	NE
MB0279C	 -	NE	NE	NE	NE
MB0280	 -	NE	AMB	NE	NE
MB0281C	 -	NE	AMB	NE	NE
MB0282	 -	NE	NE	NE	NE
MB0283C	 -	NE	NE	NE	S
MB0284C	 PE_PGRS3b	NE	NE	NE	U
MB0285C	 PE_PGRS3a	NE	AMB	NE	U
MB0286C	 PE_PGRS3	NE	AMB	NE	NE
MB0287C	 PE_PGRS4	NE	AMB	NE	NE
MB0288	 PPE3	NE	NE	NE	NE
MB0289	 -	ES	NE	NE	ES
MB0290	 -	ES	ES	ES	ES
MB0291	 -	ES	ES	AMB	ES
MB0292	 -	ES	ES	ES	U
MB0293	 PE5	ES	ES	ES	ES
MB0294	 PPE4	ES	ES	ES	U
MB0295	 esxG	ES	ES	ES	U
MB0296	 esxH	ES	ES	NE	U
MB0297	 -	ES	ES	ES	ES
MB0298	 -	ES	ES	ES	ES
MB0299	 -	ES	ES	ES	U
MB0300	 -	NE	ES	ES	NE
MB0301C	 -	NE	NE	NE	NE
MB0302	 tam	NE	NE	NE	U
MB0303C	 -	NE	NE	NE	NE
MB0304C	 -	NE	NE	NE	NE
MB0305	 PE_PGRS5	NE	AMB	NE	S
MB0306	 -	NE	NE	NE	S
MB0307	 -	NE	NE	NE	NE
MB0308	 -	NE	NE	NE	NE
MB0309	 -	NE	NE	NE	NE
MB0310	 -	NE	NE	NE	NE
MB0311	 -	NE	NE	NE	NE
MB0312C	 PPE5	NE	NE	NE	NE
MB0313C	 PPE6	NE	NE	NE	NE
MB0314	 -	NE	NE	NE	NE
MB0315C	 -	NE	NE	NE	NE
MB0316	 -	NE	NE	NE	NE
MB0317	 -	NE	NE	NE	NE
MB0318C	 -	GD	NE	NE	U
MB0319	 -	NE	AMB	NE	NE
MB0320	 -	NE	AMB	NE	NE
MB0321	 -	NE	NE	NE	NE
MB0322C	 -	NE	NE	NE	NE
MB0323	 -	NE	NE	NE	NE
MB0324	 -	NE	NE	NE	NE
MB0325C	 glpQ2	NE	NE	NE	S
MB0326C	 -	NE	NE	NE	NE
MB0327	 pcp	NE	NE	NE	NE
MB0328	 -	NE	NE	NE	NE
MB0329	 dcd	NE	NE	NE	NE
MB0330	 udgA	NE	NE	NE	NE
MB0331C	 -	NE	NE	NE	NE
MB0332	 -	NE	NE	NE	NE
MB0333	 -	NE	NE	NE	NE
MB0334C	 cyp135A1	NE	NE	NE	NE
MB0335	 -	NE	NE	NE	U
MB0336C	 -	NE	NE	NE	NE
MB0337C	 -	NE	NE	NE	NE
MB0338	 -	NE	NE	NE	NE
MB0339	 -	NE	NE	NE	NE
MB0340	 -	ES	NE	NE	ES
MB0341	 rmlA	GD	ES	AMB	S
MB0342C	 PE6	NE	ES	AMB	NE
MB0343	 -	NE	NE	NE	NE
MB0344C	 aspC	ES	NE	NE	ES
MB0345C	 -	NE	ES	ES	NE
MB0346C	 -	NE	NE	NE	U
MB0347	 -	NE	NE	NE	U
MB0348	 iniB	NE	NE	NE	NE
MB0349	 iniA	NE	NE	NE	NE
MB0350	 iniC	NE	AMB	NE	NE
MB0351C	 lpqJ	NE	NE	NE	NE
MB0353	 -	NE	NE	NE	NE
MB0354C	 ansP2	ES	NE	NE	ES
MB0355	 -	ES	ES	NE	ES
MB0356	 -	NE	AMB	ES	NE
MB0357	 -	ES	NE	NE	ES
MB0358	 dnaK	ES	ES	ES	U
MB0359	 grpE	GA	AMB	ES	U
MB0360	 dnaJ1	GA	AMB	NE	NE
MB0361	 hspR	GA	NE	NE	NE
MB0362C	 PPE8	NE	NE	NE	NE
MB0363C	 -	ES	NE	NE	ES
MB0364C	 purA	NE	ES	ES	U
MB0365	 -	NE	AMB	NE	NE
